"Unable to release authorization for the token %1","Es ist nicht möglich die Authorisierung für das Token %1 als erfolgreich zu markieren."
"Unable to authorize payment for this order.","Es ist nicht möglich, die Bezahlmethode der Bestellung zu authorisieren."
"Klarna API Credentials are required","Klarna API Zugangsdaten werden benötigt."
"Missing required attribute(s) on %1: ""%2"".","Es fehlen ein oder mehrere Attribute von %1: ""%2""."
"Order line totals do not total order_amount - %1 != %2","Die Gesamtsumme der order line items entspricht nicht der Gesamtsumme order_amount der Bestellung - %1 != %2"
"Klarna Payments is not enabled","Klarna Payments ist nicht aktiviert."
"Unable to initialize Klarna payments session","Es ist nicht möglich, die Klarna Payments Sitzung zu initialisieren."
"Place Order","Platziere die Bestellung"
"An unknown error occurred. Please try another payment method","Ein unbekannter Fehler ist aufgetreten. Bitte wähle eine andere Bezahlmethode aus."
"Klarna Payments","Klarna Payments"
"If set to specific, guest customers will not have a billing country and may not be able to checkout.","Wenn diese Einstellung auf 'spezifisch' gesetzt ist, können Gastkunden keinem Rechnungsland zugewiesen werden und können dementsprechend je nach Fall  den Bezahlvorgang nicht abschließen."
"Payment from Specific countries","Zahlungen aus ausgewählten Ländern"
"Enable B2B","Aktiviere B2B"
"Allow B2B payments (Not available in all markets. Must be setup in your contract with Klarna)","Erlaube mittels B2B zu bezahlen (nicht verfügbar in allen Märkten und muss teil des Klarnavertrags sein)"
"Data sharing","Daten teilen"
"Allow customer data to be shared with Klarna before customer places the order. (Enabling this option has an effect in the US only)","Erlaube Kunden Daten mit Klarna vor der Bestellung zu teilen. Diese Einstellung wirkt sich nur auf US-Kunden aus."
"Sort Order","Anordnung sortieren"
"Details color","Details Farbe"
"Example: #0072CC","Beispiel: #0072CC"
"Border color","Begrenzungsfarbe"
"Selected border color","Ausgewählte Begrenzungsfarbe"
"Text color","Textfarbe"
"Border Radius","Begrenzungsradius"
"Example: 5px","Beispiel: 5px"
"Klarna Payments (North America)","Klarna Payments (Nordamerika)"
"Klarna Payments (Europe)","Klarna Payments (Europa)"
"Klarna Payments (Oceania)","Klarna Payments (Ozeanien)"
"The Klarna API request failed because of a timeout.","Die Klarna API Anfrage schlug aufgrund eines Timeouts fehl."
"Enable","Aktiviert"
"Allowed Countries","Erlaubte Länder"
"Enable Data sharing","Aktiviere das Datenteilen"
"Enable Data sharing on load","Aktiviere das Datenteilen beim Laden"
"If this is disabled, it will mean that Klarna will not receive the consumers billing and shipping addresses until 'authorize' is called. If there are any errors with the address, the authorization will fail and the user will be instructed to return to a previous step to fix the issue.","Wenn diese Option deaktiviert ist, so wird Klarna keine Rechnungs- oder Lieferadressen des Kunden erhalten, bis die API Authorisierungsanfrage gesendet wurde. Kommt es zu Fehlern mit der Addresse, so schlägt die Authorisierung fehl und dem Kunden wird angewiesen, zum vorherigen Schitt zurückzugehen, um den Fehler mit der Addresse zu beheben."
"Design","Aussehen"
